SORT_LNP,Formula_label,Opt_Method,Ionizable_Lipid,Helper_lipid,SORT_lipid,IL_NP_ratio,(IL+HL),HL_(IL+HL),PEG_(Chol+PEG),SORT_of_total,on_target
B215,,N/A,SM-102,DOPE,18PG,10,49.74874372,0,0.2,0.5,8.348066793
B216,,N/A,SM-102,DOPE,18PG,10,18.36734694,0,5,2,8.252154344
B217,,N/A,SM-102,DOPE,18PG,10,11.11111111,0,5,10,7.92786827
B218,,N/A,SM-102,DOPE,18PG,7,14.89361702,0,5,6,7.919784076
B219,,N/A,SM-102,DOPE,18PG,4,73.68421053,0,5,24,7.876278171
B220,,N/A,SM-102,DOPE,18PG,7,78.26086957,0,5,8,7.82976979
B221,,N/A,SM-102,DOPE,18PG,10,14.89361702,0,5,6,7.72688041
B222,,N/A,SM-102,DOPE,18PG,10,78.26086957,0,5,8,7.543366653
B223,,N/A,SM-102,DOPE,18PG,7,49.74874372,0,0.2,0.5,7.49736911
B224,,N/A,SM-102,DOPE,18PG,4,11.11111111,0,5,10,7.467337693
B225,,N/A,SM-102,DOPE,18PG,7,19.83967936,0,5,0.2,7.384090386
B226,,N/A,SM-102,DOPE,18PG,4,78.26086957,0,5,8,6.938034322
B227,,N/A,SM-102,DOPE,18PG,4,79.83870968,0,1,0.8,6.930419475
B228,,N/A,SM-102,DOPE,18PG,10,19.83967936,0,5,0.2,6.788431086
B229,,N/A,SM-102,DOPE,18PG,10,79.83870968,0,5,0.8,6.604062624
B230,,N/A,SM-102,DOPE,18PG,10,79.83870968,0,0.2,0.8,6.589704214
B231,,N/A,SM-102,DOPE,18PG,10,79.83870968,0,1,0.8,6.52096719
B232,,N/A,SM-102,DOPE,18PG,4,79.83870968,0,0.2,0.8,6.426125895
B233,,N/A,SM-102,DOPE,18PG,4,66.66666667,0,0.2,40,6.372634348
B234,,N/A,SM-102,DOPE,18PG,7,11.11111111,0,5,10,6.364579576
B235,,N/A,SM-102,DOPE,18PG,7,79.83870968,0,1,0.8,6.306948586
B236,,N/A,SM-102,DOPE,18PG,7,79.83870968,0,0.2,0.8,6.280971555
B237,,N/A,SM-102,DOPE,18PG,7,79.83870968,0,5,0.8,5.793753455
B238,,N/A,SM-102,DOPE,18PG,4,79.83870968,0,5,0.8,5.369337234
B239,,N/A,SM-102,DOPE,18PG,4,49.74874372,0,0.2,0.5,5.35727618
B240,,N/A,SM-102,DOPE,18PG,4,19.83967936,0,0.2,0.2,5.092238848
B241,,N/A,SM-102,DOPE,18PG,7.68567276,51.59156015,0,4.56347928,14.09006519,9.432830246
