Formula_label,FALCON_ID,Iter,Opt_Method,Max_Cell_Target,Ionizable_lipid,Helper_lipid,NP_ratio,IL+HL,HL_IL+HL,PEG_PEG+Chol,SM102_PcntMolar,18PG_PcntMolar,Cholesterol_PcntMolar,DMGPEG_PcntMolar,nLnLE_RAMOS,nLnLE_HEPG2,nLnLE_Selectivity
118,F1118,2,DA,RAMOS,SM-102,18PG,6.095056047,26.7,8.6,1.2,24.4,2.3,72.4,0.9,4.788854318,7.597724794,-2.808870476
119,F1119,2,DA,RAMOS,SM-102,18PG,4.068308561,33.3,10.5,1.3,29.8,3.5,65.8,0.9,4.833016048,8.291134003,-3.458117955
120,F1120,2,DA,RAMOS,SM-102,18PG,7.68567276,56.9,19.3,4.6,45.9,11,41.1,2,2.483377939,4.413790043,-1.930412104
121,F1121,2,DA,RAMOS,SM-102,18PG,5.265855957,45.1,10.4,1.3,40.3,4.7,54.2,0.7,4.615644165,8.231072102,-3.615427937
122,F1122,2,DA,RAMOS,SM-102,18PG,20.78429919,70.1,40.9,4.6,41.4,28.7,28.6,1.4,-0.270542947,1.532910458,-1.803453405
123,F1123,2,DA,RAMOS,SM-102,18PG,5.22927452,26.8,9.9,1.1,24.1,2.7,72.4,0.8,4.744487647,7.796765201,-3.052277553
124,F1124,2,DA,RAMOS,SM-102,18PG,4.918920918,47.4,9.1,1.1,43.1,4.3,52,0.6,4.306235074,6.599392492,-2.293157417
125,F1125,2,DA,RAMOS,SM-102,18PG,4.523266638,29.8,9.8,1.1,26.8,2.9,69.5,0.8,4.760092311,7.62106863,-2.860976319
126,F1126,2,DA,RAMOS,SM-102,18PG,5.201356764,21.9,8.2,1.2,20.1,1.8,77.2,0.9,4.468642529,7.105066635,-2.636424106
127,F1127,2,DA,RAMOS,SM-102,18PG,6.761997098,38.5,10,1.4,34.7,3.8,60.6,0.8,4.500894021,7.438747073,-2.937853052
128,F1128,3,DA,RAMOS,SM-102,18PG,5.934757992,29.5,7.8,1.4,27.2,2.3,69.5,1,4.134224911,8.079468456,-3.945243545
129,F1129,3,DA,RAMOS,SM-102,18PG,4.566887403,36.4,7.9,1.4,33.5,2.9,62.7,0.9,3.650462684,7.710314984,-4.0598523
130,F1130,3,DA,RAMOS,SM-102,18PG,6.20410431,42.8,7.8,1.4,39.4,3.3,56.4,0.8,3.807024602,7.910333551,-4.103308949
131,F1131,3,DA,RAMOS,SM-102,18PG,6.761824606,34.4,7.9,1.4,31.7,2.7,64.7,0.9,3.268071106,7.522928669,-4.254857563
132,F1132,3,DA,RAMOS,SM-102,18PG,4.2336411,41.7,8,1.5,38.3,3.4,57.5,0.9,3.56087473,7.906492009,-4.345617279
