Formula_label,Helper_lipid,NP_ratio,IL+HL,HL_IL+HL,PEG_PEG+Chol,nLnLE_RAMOS
195,DSPC,0.07376642380563281,0.8308020415474902,0.005272529279896341,0.000276371675935215,-1.126062931
198,DSPC,0.7688160147250478,0.7301048528586829,0.0052828901448334275,2.734455460326468e-08,-1.197254298
194,DSPC,0.8060758544158966,0.7304568882399873,0.005334167219238445,8.694743150721579e-08,-1.271635482
201,DSPC,0.7474935213963259,0.730625857966801,0.005511970862302215,1.6129161157715788e-09,-1.51894793
197,DSPC,0.07748801342826375,0.7377449949055148,0.005375076053482344,0.00028627179255937257,-1.554068102
192,DSPC,0.3419513055506591,0.7293395761806762,0.005293733643596642,8.737177848397101e-05,-1.614841954
200,DSPC,0.07376642380563281,0.9564194519776372,0.005272529279896341,0.000276371675935215,-1.689223138
191,DSPC,0.05933114511439244,0.9344576203261881,0.005427454331245926,0.000276371675935215,-1.785117162
193,DSPC,0.12564217967970456,0.739941804417779,0.005527258032646111,0.00027353241843715986,-1.824378174
262,DSPC,0.11335592270716985,0.41853207905356166,0.6265675682906614,0.01268802239901711,5.08601086
267,DSPC,0.06810725487852279,0.4086445618799737,0.6083362368874037,0.012708975117094177,5.02446681
270,DSPC,0.11720312917811529,0.4117147494898064,0.6286569504818779,0.012708975117094177,4.998949832
266,DSPC,0.02924687379550045,0.40903281151051435,0.6034442737366582,0.01268802239901711,4.756587465
268,DSPC,0.11692700933759284,0.4178617520413877,0.605593990997902,0.01268802239901711,4.74445934
253,DSPC,0.11747285422612844,0.4244191447284967,0.597288427727752,0.015195778523264173,4.730322087
271,DSPC,0.11720312917811529,0.41139063109936996,0.6102917167226164,0.012708975117094177,4.680196753
251,DSPC,0.11875638823807047,0.42166880565864,0.5900098489651371,0.01341360527913644,4.670208627
273,DSPC,0.11335592270716985,0.4184049040863744,0.6265675682906614,0.01268802239901711,4.619251826
257,DSPC,0.11773057718274779,0.419722237946167,0.5868579455787082,0.012722564498009048,4.595039917
256,DSPC,0.11827702409779209,0.418210807230099,0.5971576902504176,0.012691686306766101,4.554477494
254,DSPC,0.11832456163008795,0.42444139155642274,0.5962190347431775,0.012702999225378054,4.551650871
272,DSPC,0.0645657809832107,0.408905334769949,0.6126591938889154,0.012708975117094177,4.526155124
255,DSPC,0.11600216308722053,0.4160377532813872,0.591355178080928,0.012702167635836854,4.517835355
250,DSPC,0.11944291083227157,0.41804844711471173,0.5880474422610957,0.013607344186701587,4.463763011
260,DSPC,0.11615539218280932,0.41962132382599876,0.6003182698003257,0.014208718572358376,4.446255267
261,DSPC,0.11509617674093106,0.41961627361767334,0.5944774649878021,0.01325828764634908,4.378856143
258,DSPC,0.11643210318670685,0.421172362330728,0.5874639119277429,0.012725502330938507,4.37110094
259,DSPC,0.11344827609719674,0.4163159884670469,0.5914557598632476,0.012726827322772223,4.350018948
269,DSPC,0.07327102705892022,0.40878375514585813,0.6032876294027084,0.23526939158564658,4.271613642
264,DSPC,0.1176226334829499,0.5365169517584634,0.6090112957330216,0.2426734976407849,4.245638841
252,DSPC,0.11479122313554055,0.4244312639683541,0.5933203679671075,0.01275078400333947,4.025085224
265,DSPC,0.060344933521929905,0.40890398945661727,0.6227846960241431,0.27257040669842486,3.983547132
263,DSPC,0.03106239054364021,0.4083453103246936,0.619124686331675,0.9248966845232124,2.983247691
231,DSPC,0.7547134808774894,0.592949433454723,0.04188131726454862,0.00024031643656924947,2.14055339
226,DSPC,0.7558171610471951,0.5926830763789968,0.043383390952659494,0.0050186009828545475,2.132771138
234,DSPC,0.7547032277506076,0.5930650043888857,0.04281806096141645,0.005182182635170519,2.050971045
236,DSPC,0.7524790299719046,0.5926712996040122,0.04212873992425586,0.0053637577170988025,2.030708434
232,DSPC,0.7528625073626038,0.5926456617306564,0.04233029765132818,0.005106031876589617,2.025201373
230,DSPC,0.7270796360222852,0.45090949506131567,0.05044108658539665,0.000310675888555015,2.010465542
229,DSPC,0.7534296343833308,0.5932166126299123,0.04216671347149355,0.004937340618550041,1.946906858
228,DSPC,0.7270549683527212,0.5931004840910046,0.04273082890833936,0.005013114967521291,1.931945254
