Iter,Formula_label,Opt_Method,Ionizable_Lipid,Helper_lipid,P_charged_centers,N_charged_centers,cLogP,cTPSA,Hbond_D,Hbond_A,Total_Carbon_Tails,Double_bonds,Helper_MW,NP_ratio,(IL+HL),HL_(IL+HL),PEG_(Chol+PEG),MAL_(PEG+MAL),IL%,HL%,Chol%,PEG%,MAL%,IL_Mol_RNA,HL_Mol_RNA,Chol_Mol_RNA,PEG_Mol_RNA,MAL_Mol_RNA,RLU_T,LnRLU_T
2,64,i-optimal,SM-102,DSPC,1,1,6.12,111,0,8,36,0,790.1,5.26304724582775,71.9221989182607,29.256818472184,7.24864769119356,17.73319372655093,50.88005173954208,21.04214717871862,26.04254020188988,1.674344125185014,0.360916754664402,15.78914173748325,6.529817343082004,8.08154363829359,0.5195839195525651,0.112,2.007348430477462,2.266408689113835
3,0,,SM-102,DSPC,1,1,6.12,111,0,8,36,0,790.1,5.0,60.0,16.66667,3.75,24.88888789333333,49.999998,10.000002,38.5,1.1266666816,0.3733333183999999,15.0,3.000000720000029,11.55000046200002,0.3380000180000008,0.112,2.947785279754917,3.255789972420727
3,17,,SM-102,DSPC,1,1,6.12,111,0,8,36,0,790.1,8.0,55.0,30.0,3.75,10.64691358024691,38.5,16.5,43.3125,1.507833333333333,0.1796666666666666,24.0,10.28571428571429,27.0,0.939948051948052,0.112,3.436148103933651,3.744152796599462
3,65,DA,SM-102,DSPC,1,1,6.12,111,0,8,36,0,790.1,7.04773317908518,56.0239787181098,52.931378443546,4.65544720253328,6.823000492299887,26.36971452369543,29.65426419441437,41.928740829337,1.907594497196733,0.139685955356464,21.14319953725554,23.7767467838757,33.61840466281662,1.529506550181227,0.112,2.148916980999186,2.456921673664996
3,66,DA,SM-102,DSPC,1,1,6.12,111,0,8,36,0,790.1,7.76083598567928,60.501137909288,50.8171574534496,2.53828434318704,14.27711887816219,29.75617939679643,30.74495851249157,38.49626865852642,0.8594519760078018,0.1431414561777823,23.28250795703784,24.05617104469229,30.12112776329421,0.6724719999586994,0.112,1.494013964568238,1.802018657234048
3,67,DA,SM-102,DSPC,1,1,6.12,111,0,8,36,0,790.1,6.7979098903228,66.3759036257868,50.9580284528572,4.90716490708311,10.83473908423468,32.55205177031729,33.82385185546951,31.974106516614,1.471217761611986,0.1787720959872081,20.3937296709684,21.19050731543502,20.03164929115677,0.9217120176984046,0.112,1.561667894124383,1.869672586790194
3,68,DA,SM-102,DSPC,1,1,6.12,111,0,8,36,0,790.1,6.39238046960325,61.3314359331021,53.01728729011,3.46361503059659,12.56515101991109,28.8151723452996,32.5162635878025,37.32923386976096,1.171041335211417,0.1682888619255304,19.17714140880975,21.6403003749911,24.84343969990901,0.7793541892375323,0.112,1.350733468724035,1.658738161389845
3,69,DA,SM-102,DSPC,1,1,6.12,111,0,8,36,0,790.1,6.85549849782364,68.886810763638,52.5467532978213,3.11979955222422,18.3395433071805,32.68902825693213,36.19778250670586,30.14252009788331,0.7926528514579597,0.1780162870207363,20.56649549347092,22.77404898507296,18.96434482182903,0.4987022302793578,0.112,1.146332968644457,1.454337661310267
3,70,DA,SM-102,DSPC,1,1,6.12,111,0,8,36,0,790.1,7.6274355485424,62.4540051539864,52.0351046416608,4.78320672784231,8.164305552797439,29.95599821920135,32.49800693478505,35.75009229450374,1.6492795797741,0.1466229717357495,22.8823066456272,24.82405542329134,27.3082061397625,1.259825188017663,0.112,1.242933937348618,1.550938630014428
3,71,i-optimal,SM-102,DSPC,1,1,6.12,111,0,8,36,0,790.1,8.51554801743831,63.8513609144724,28.0281710714407,5.47288623626847,10.18376784991836,45.95499224592105,17.89636866855135,34.1702651924174,1.77690088863247,0.2014730044777353,25.54664405231493,9.948694099607051,18.99544661812832,0.98778940653972,0.112,3.045506067395929,3.35351076006174
